CustomerID,FirstName,LastName,DateOfBirth,Gender,Email,Phone,City,State,Country,JoinDate,LastPurchaseDate,TotalPurchases,TotalSpent,CustomerSegment,IsActive
N0029,Balhaar,Kota,10/11/1997,Male,balhaar.kota@gmail.com,8762979743,Chennai,Tamil Nadu,India,12/22/2023,5/17/2026,42,106491.83,VIP,1
N0030,Isaac,Kadakia,1/12/1981,Male,isaac.kadakia@gmail.com,8172636017,Coimbatore,Tamil Nadu,India,12/18/2022,8/12/2025,41,89688.1,VIP,1
N0031,Gopal,Parmar,12/23/1976,Female,gopal.parmar@gmail.com,9597849605,Delhi,Delhi,India,1/24/2025,12/21/2025,36,18069.72,Premium,1
N0032,Bhavya,Kapoor,9/20/1967,Female,bhavya.kapoor@gmail.com,9000000031,Bangalore,Karnataka,India,8/27/2021,2/14/2026,33,18401.84,Premium,0
N0033,Upma,Batta,3/14/2008,Male,upma.batta@gmail.com,7499005630,Coimbatore,Tamil Nadu,India,9/5/2021,6/18/2025,37,25609.46,Premium,0
N0034,Harini,Chandra,5/29/1988,Female,harini.chandra@gmail.com,8831360226,Chennai,Tamil Nadu,India,8/28/2021,11/4/2025,32,105902.69,VIP,1
N0035,Jatin,Batta,8/20/1994,Male,jatin.batta@gmail.com,6045719374,Coimbatore,Tamil Nadu,India,7/31/2021,10/13/2025,35,64299.27,VIP,0
N0036,Yash,Dhingra,12/14/1977,Female,yash.dhingra@gmail.com,9100569760,Bangalore,Karnataka,India,11/19/2023,11/14/2025,31,6425.59,Regular,0
N0037,Reyansh,Bail,2/18/1981,Female,reyansh.bail@gmail.com,9920986285,Madurai,Tamil Nadu,India,5/11/2024,11/16/2025,20,52321.49,VIP,1
N0038,Karan,Khurana,7/19/1999,Male,karan.khurana@gmail.com,8427269626,Delhi,Karnataka,India,12/23/2021,2/9/2026,43,5934.6,Regular,1
N0039,Yug,Shroff,1/29/2003,Female,yug.shroff@gmail.com,6525905999,Mumbai,Maharashtra,India,1/25/2024,1/17/2026,15,42668.17,Premium,0
N0040,Advika,Biswas,7/31/1997,Male,advika.biswas@gmail.com,6549599816,Hyderabad,Telangana,India,6/17/2023,11/16/2025,46,59313.56,Premium,0
N0041,Waida,Upadhyay,4/14/1986,Male,waida.upadhyay@gmail.com,7890342884,Delhi,Delhi,India,5/17/2024,9/29/2025,4,107580.63,VIP,0
N0042,Watika,Kapur,3/20/1995,Female,watika.kapur@gmail.com,6170095904,Coimbatore,Tamil Nadu,India,5/11/2022,11/4/2025,20,53740.39,VIP,1
N0043,Gauri,Bhasin,12/16/1964,Female,gauri.bhasin43@example.com,8243661978,Kolkata,West Bengal,India,12/11/2023,1/17/2026,21,31660.34,Premium,0
N0044,Wahab,Yogi,12/2/1962,Male,wahab.yogi44@example.com,6317545634,Chennai,Tamil Nadu,India,11/10/2021,6/21/2025,16,8877.18,Regular,1
N0045,Geetika,Dhillon,1/4/1982,Female,geetika.dhillon@gmail.com,12345,Hyderabad,Telangana,India,1/20/2023,12/1/2025,28,108166.33,VIP,1
N0046,Dhruv,Mallick,3/18/1972,Male,dhruv.mallick@gmail.com,9000000045,Kolkata,West Bengal,India,1/4/2025,4/26/2026,23,59313.56,Premium,1
N0047,Pranav,Date,11/9/1965,Female,pranav.date47@example.com,7737111569,Madurai,Tamil Nadu,India,7/8/2022,6/4/2026,42,1630.48,New,1
N0048,Charles,Nayak,5/23/2007,Female,charles.nayak@gmail.com,8698609929,Kolkata,West Bengal,India,5/10/2024,6/11/2026,37,95969.38,VIP,1
N0049,Pahal,Magar,1/29/1984,Male,pahal.magar@gmail.com,6884374865,Chennai,Tamil Nadu,India,10/28/2022,11/9/2025,46,31202.61,Premium,1
N0050,Mahika,Nair,4/21/1988,Male,mahika.nair@gmail.com,8442441431,Coimbatore,Tamil Nadu,India,4/26/2024,7/24/2025,45,67701.01,VIP,1
N0051,Anmol,Borra,9/24/1975,Female,anmol.borra@gmail.com,9963843372,Madurai,Tamil Nadu,India,6/16/2022,4/30/2026,18,29983.36,Premium,0
N0052,Shivansh,Nagarajan,7/23/1967,Female,shivansh.nagarajan@gmail.com,7226920891,Mumbai,Maharashtra,India,5/24/2023,5/14/2026,11,31172.24,Premium,0
N0053,Owen,Madan,4/3/1985,Female,owen.madan@gmail.com,12345,Mumbai,Maharashtra,India,5/10/2024,3/29/2026,25,119114.02,VIP,1
N0054,Atharv,Singh,3/14/1998,Female,atharv.singh@gmail.com,9757155251,Coimbatore,Tamil Nadu,India,12/19/2021,8/11/2025,22,99367.84,VIP,1
N0055,Reyansh,Wadhwa,8/28/1984,Male,reyansh.wadhwa@gmail.com,8114457695,Coimbatore,Tamil Nadu,India,5/12/2024,5/7/2026,22,114314.67,VIP,1
N0056,Kashvi,Kapoor,5/21/1991,Female,kashvi.kapoor@gmail.com,8028220757,Chennai,Tamil Nadu,India,11/17/2022,5/29/2026,12,18340.27,Premium,1
N0057,Vyanjana,Badal,5/5/1982,Male,vyanjana.badal@gmail.com,8412651999,Chennai,Tamil Nadu,India,7/27/2022,11/22/2025,5,100967,VIP,0
N0058,Banjeet,Yogi,7/26/1977,Male,banjeet.yogi@gmail.com,9471001186,Pune,Maharashtra,India,9/10/2024,6/20/2025,43,108858.32,VIP,1
N0059,Rehaan,Palan,8/20/1983,Female,rehaan.palan@gmail.com,6513898129,Mumbai,Maharashtra,India,4/7/2025,1/3/2026,18,59788.44,VIP,1
N0060,Ekta,Nagarajan,2/12/1967,Female,ekta.nagarajan@gmail.com,9962818876,Hyderabad,Telangana,India,1/12/2023,10/2/2025,22,66033.1,VIP,0
N0061,Ekiya,Bansal,7/12/1967,Female,ekiya.bansal@gmail.com,7285673984,Hyderabad,Telangana,India,12/29/2024,1/2/2026,2,20745.89,Premium,0
N0062,Jeet,Kala,11/28/1978,Female,jeet.kala@gmail.com,8059149729,Coimbatore,Tamil Nadu,India,7/8/2024,10/17/2025,23,73354.26,VIP,0
N0063,Qabil,Shankar,11/8/1980,Male,qabil.shankar@gmail.com,8679307906,Hyderabad,Telangana,India,9/24/2023,10/24/2023,22,20388.34,Premium,0
N0064,Nathan,Sampath,11/9/1975,Female,nathan.sampath@gmail.com,6356014396,Hyderabad,Telangana,India,12/31/2022,9/27/2025,7,109935.08,VIP,1
N0065,Nihal,Krishna,3/17/2004,Male,nihal.krishna@gmail.com,9370171196,Bangalore,Karnataka,India,6/14/2025,6/18/2025,45,92042.2,VIP,0
N0066,Megha,Kumar,2/19/1988,Male,megha.kumar@gmail.com,7649068195,Hyderabad,Telangana,India,3/27/2023,9/1/2025,2,14175.05,Premium,0
N0067,Idika,Kakar,7/24/1963,Female,idika.kakar@gmail.com,6457274475,Mumbai,Maharashtra,India,11/22/2024,10/20/2025,14,109264.65,VIP,1
N0068,Janya,Sami,12/11/2007,Female,janya.sami@gmail.com,7591396761,Bangalore,Karnataka,India,1/10/2025,5/11/2026,42,61388.99,VIP,1
N0069,Niharika,Basu,9/7/1997,Male,niharika.basu@gmail.com,7482139003,Coimbatore,Tamil Nadu,India,2/9/2023,3/3/2026,35,2932.41,New,1
N0070,Keya,Sathe,10/8/1983,Female,keya.sathe@gmail.com,7954333227,Delhi,Delhi,India,1/29/2022,2/3/2026,31,56277.34,VIP,0
N0071,Faris,Mandal,6/12/1967,Male,faris.mandal@gmail.com,9028583142,Kolkata,West Bengal,India,7/12/2021,2/5/2026,41,18658.66,Premium,1
N0072,Geetika,Dhingra,1/18/2007,Female,geetika.dhingra@gmail.com,9814385209,Pune,Maharashtra,India,3/11/2025,3/27/2026,29,17908.21,Premium,1
N0073,Tejas,Iyer,11/2/1985,Female,tejas.iyer@gmail.com,9727829347,Chennai,Tamil Nadu,India,3/24/2025,7/30/2025,41,94367.07,VIP,0
N0074,Hemal,Nadkarni,10/22/1962,Male,hemal.nadkarni@gmail.com,7983441308,Delhi,Delhi,India,12/11/2021,2/2/2026,46,91010.68,VIP,0
N0075,Vansha,Nanda,4/23/1986,Male,vansha.nanda@gmail.com,8809829122,Delhi,Delhi,India,9/3/2021,6/19/2025,14,73471.92,VIP,0
N0076,Kabir,Chopra,3/24/1985,Female,kabir.chopra@gmail.com,9235236598,Hyderabad,Telangana,India,3/31/2025,8/6/2025,41,65368.27,VIP,0
N0077,Robert,Arora,5/20/1962,Female,robert.arora@gmail.com,6796544491,Pune,Maharashtra,India,4/26/2025,7/9/2025,2,39985.19,Premium,0
N0078,Hemani,Sinha,2/2/1991,Female,hemani.sinha@gmail.com,9602639826,Coimbatore,Tamil Nadu,India,10/9/2023,6/2/2026,2,44292.81,VIP,0
N0079,Chandani,Subramanian,12/20/2006,Male,chandani.subramanian@gmail.com,8283637715,Bangalore,Karnataka,India,3/28/2024,6/29/2025,4,25949.68,Premium,1
N0080,Veer,Pandit,10/1/1977,Male,veer.pandit@gmail.com,9395297809,Kolkata,West Bengal,India,3/28/2025,6/11/2026,5,27629.65,Premium,1
N0081,Onkar,Atwal,11/13/1964,Male,onkar.atwal@gmail.com,12345,Chennai,Tamil Nadu,India,8/16/2021,2/14/2026,38,64311.76,VIP,1
N0082,Jeet,Bala,12/22/1971,Female,jeet.bala@gmail.com,8717755378,Mumbai,Maharashtra,India,12/9/2024,4/17/2026,25,14392.36,Premium,1
N0083,Hemani,Mishra,9/27/1994,Female,hemani.mishra@gmail.com,9000000082,Madurai,Tamil Nadu,India,8/28/2023,11/20/2025,37,109513.51,VIP,1
N0084,Orinder,Sankar,5/22/1992,Male,orinder.sankar@gmail.com,7051912384,Chennai,Tamil Nadu,India,11/12/2024,8/19/2025,12,10345.43,Regular,1
N0085,Wyatt,Issac,10/17/1986,Male,wyatt.issac@gmail.com,8061261788,Hyderabad,Telangana,India,7/18/2023,12/13/2025,43,10484.99,Regular,1
N0086,Harini,Saran,3/11/1979,Female,harini.saran@gmail.com,9796070881,Mumbai,Maharashtra,India,1/21/2025,12/2/2025,43,64575.05,VIP,1
N0087,Harrison,Thakur,6/12/1981,Male,harrison.thakur@gmail.com,9865279663,Bangalore,Karnataka,India,4/2/2023,2/13/2026,13,58331.23,VIP,1
N0088,Isha,Choudhury,7/3/1995,Female,isha.choudhury@gmail.com,7609345788,Mumbai,Maharashtra,India,2/16/2025,9/21/2025,22,10928.13,Regular,0
N0089,Devansh,Narasimhan,6/21/1992,Male,devansh.narasimhan@gmail.com,6473131623,Pune,Maharashtra,India,3/15/2023,5/6/2026,3,33845.53,Premium,0
N0090,Kai,Vasa,7/4/1993,Female,kai.vasa@gmail.com,9012556520,Coimbatore,Tamil Nadu,India,8/8/2024,6/15/2026,49,5526.16,Regular,0
N0091,Max,Shanker,8/25/1973,Male,max.shanker@gmail.com,6032458001,Delhi,Delhi,India,9/19/2024,8/20/2025,7,68656.32,VIP,0
N0092,Dhriti,De,7/6/2005,Male,dhriti.de@gmail.com,9996375809,Madurai,Tamil Nadu,India,10/3/2021,4/29/2026,30,109672.6,VIP,1
N0093,Dev,Ray,11/23/1961,Male,dev.ray@gmail.com,7356670535,Mumbai,Maharashtra,India,8/19/2022,2/21/2026,24,52198.61,VIP,1
N0094,Fitan,Anand,2/5/1988,Male,fitan.anand@gmail.com,9127515794,Kolkata,West Bengal,India,11/27/2021,12/8/2025,45,113859.98,VIP,1
N0095,Nisha,Sem,1/2/1975,Male,nisha.sem@gmail.com,8322600915,Delhi,West Bengal,India,8/6/2022,7/9/2025,3,62709.86,VIP,1
N0096,Nimrat,Chokshi,4/12/1983,Female,nimrat.chokshi@gmail.com,8124689114,Mumbai,Maharashtra,India,8/24/2024,8/19/2025,44,61272.56,VIP,0
N0097,Geetika,Krish,12/1/1971,Female,geetika.krish@gmail.com,9420344951,Mumbai,Maharashtra,India,3/14/2025,10/22/2025,39,75062.2,VIP,0
N0098,Panini,Rajagopal,6/12/2006,Male,panini.rajagopal@gmail.com,8770172447,Pune,Maharashtra,India,5/25/2024,11/30/2025,40,80578.51,VIP,1
N0099,Dalaja,Sama,10/22/1993,Female,dalaja.sama@gmail.com,9276938286,Delhi,Delhi,India,3/23/2023,10/30/2025,40,55327.28,VIP,1
N0100,Urmi,Dalal,10/4/1961,Female,urmi.dalal100@example.com,8932182817,Hyderabad,Telangana,India,4/20/2022,3/30/2026,23,1813.29,New,0
N0101,Nitesh,Bhasin,1/24/1993,Male,nitesh.bhasin@gmail.com,8631667723,Mumbai,Maharashtra,India,3/21/2025,9/8/2025,20,50578.17,VIP,1
N0102,Zayan,Devi,7/11/1987,Female,zayan.devi@gmail.com,7478418665,Madurai,Tamil Nadu,India,12/28/2021,2/18/2026,2,9305.65,Regular,0
N0103,Wridesh,Karnik,1/23/1985,Male,wridesh.karnik@gmail.com,6538529828,Pune,Maharashtra,India,5/4/2022,4/4/2026,33,11814.97,Regular,0
N0104,Vinaya,Merchant,8/12/2005,Female,vinaya.merchant@gmail.com,7342233866,Bangalore,Karnataka,India,4/22/2025,3/2/2026,34,118672.61,VIP,1
N0105,Charita,Shan,11/28/1998,Female,charita.shan@gmail.com,6625096904,Coimbatore,Tamil Nadu,India,5/4/2023,12/28/2025,31,50599.36,VIP,1
N0106,Balhaar,Rege,2/4/1968,Female,balhaar.rege@gmail.com,9707199175,Coimbatore,Tamil Nadu,India,2/12/2024,1/9/2026,48,25536.14,Premium,1
N0107,Eesha,Shetty,10/23/2000,Male,eesha.shetty@gmail.com,8265657481,Hyderabad,Telangana,India,1/1/2024,5/2/2026,49,97770.12,VIP,1
N0108,Tanmayi,Sant,2/11/1976,Male,tanmayi.sant@gmail.com,9162025969,Bangalore,Karnataka,India,7/6/2024,1/27/2026,18,51093.18,VIP,0
N0109,Vrishti,Johal,7/15/1992,Male,vrishti.johal@gmail.com,6851913686,Bangalore,Karnataka,India,10/30/2023,10/13/2025,5,117990.64,VIP,1
N0110,Nihal,Tella,8/17/1985,Male,nihal.tella@gmail.com,6901591901,Bangalore,Karnataka,India,12/23/2024,6/13/2026,50,89456.18,VIP,0
N0111,Gaurika,Peri,12/6/1993,Female,gaurika.peri@gmail.com,9000000110,Delhi,Delhi,India,7/12/2021,7/1/2025,31,22651.36,Premium,1
N0112,Oni,Lall,8/7/1977,Male,oni.lall@gmail.com,8176596437,Bangalore,Karnataka,India,3/21/2024,5/17/2026,29,7930.69,Regular,1
N0113,Devika,Kulkarni,7/11/2005,Female,devika.kulkarni@gmail.com,8066562501,Pune,Maharashtra,India,1/19/2025,11/14/2025,20,54487.08,VIP,0
N0114,Yutika,Gade,2/21/1963,Male,yutika.gade@gmail.com,7729022391,Madurai,Tamil Nadu,India,3/12/2025,10/14/2025,24,34239.46,Premium,0
N0115,Dipta,Chaudhari,9/23/1969,Male,dipta.chaudhari@gmail.com,9482498070,Hyderabad,Telangana,India,10/21/2022,1/11/2026,40,95294.98,VIP,1
N0116,Hemani,Goel,10/30/1985,Female,hemani.goel@gmail.com,6718675475,Delhi,Delhi,India,4/13/2025,7/18/2025,20,43607.97,VIP,0
N0117,Hemangini,Ratti,12/26/1978,Male,hemangini.ratti@gmail.com,9537841883,Hyderabad,Telangana,India,1/1/2024,4/6/2026,38,101988.21,VIP,0
N0118,Naksh,Mangal,7/19/2000,Female,naksh.mangal@gmail.com,7655157403,Mumbai,Maharashtra,India,3/13/2023,12/18/2025,21,86861.23,VIP,1
N0119,Warhi,Jani,12/27/1979,Male,warhi.jani@gmail.com,7009880401,Kolkata,West Bengal,India,11/2/2024,5/9/2026,20,52584.25,VIP,0
N0120,Advay,Ramaswamy,6/20/1967,Male,advay.ramaswamy@gmail.com,9952530191,Bangalore,Karnataka,India,5/17/2024,12/25/2025,2,118823.66,VIP,0
N0121,Rohan,Dutta,2/4/1982,Female,rohan.dutta@gmail.com,6426284628,Chennai,Tamil Nadu,India,5/26/2025,4/23/2026,19,40303.66,Premium,1
N0122,Dev,Dhaliwal,4/5/2004,Male,dev.dhaliwal@gmail.com,7357486345,Delhi,Delhi,India,4/2/2022,2/3/2026,34,24843.43,Premium,1
N0123,Karan,Mitra,4/20/1962,Male,karan.mitra@gmail.com,9610476573,Kolkata,West Bengal,India,12/16/2023,6/11/2026,47,99435.29,VIP,1
N0124,Unni,Ram,12/12/1961,Male,unni.ram@gmail.com,7995635953,Mumbai,Maharashtra,India,7/4/2022,4/2/2026,43,14606.64,Premium,0
N0125,William,Purohit,1/30/1989,Male,william.purohit@gmail.com,9379962729,Chennai,Tamil Nadu,India,5/9/2024,12/31/2025,36,79016.67,VIP,1
N0126,Parth,Dalal,3/8/1969,Male,parth.dalal@gmail.com,8036150445,Kolkata,West Bengal,India,6/16/2022,10/19/2025,22,13734.43,Premium,1
N0127,Vansha,Viswanathan,2/17/2000,Female,vansha.viswanathan@gmail.com,7815253549,Madurai,Tamil Nadu,India,9/11/2022,3/20/2026,45,102538.06,VIP,1
N0128,Viraj,Dash,9/29/1976,Female,viraj.dash@gmail.com,7542539982,Chennai,Tamil Nadu,India,12/16/2022,10/17/2025,45,1287.93,New,0
N0129,Harinakshi,Toor,7/6/1992,Female,harinakshi.toor@gmail.com,6019127450,Bangalore,Karnataka,India,3/30/2025,10/11/2025,14,39674.31,Premium,1
N0130,George,Pai,3/7/1973,Female,george.pai@gmail.com,7988594077,Pune,Maharashtra,India,6/1/2024,1/23/2026,46,75331.83,VIP,1
N0131,Kashvi,Mohanty,4/11/1985,Male,kashvi.mohanty@gmail.com,6663738066,Delhi,Delhi,India,5/26/2024,6/30/2025,19,95636.71,VIP,0
N0132,Janaki,Bail,4/1/1982,Female,janaki.bail@gmail.com,9634441543,Kolkata,West Bengal,India,12/17/2023,9/17/2025,6,113321.69,VIP,0
N0133,Samaksh,Modi,5/26/1967,Female,samaksh.modi@gmail.com,8420153407,Bangalore,Karnataka,India,7/29/2022,7/9/2025,16,94642.33,VIP,1
N0134,Tripti,Bora,1/17/2001,Male,tripti.bora@gmail.com,9267079475,Hyderabad,Telangana,India,8/24/2023,8/31/2025,1,5894.69,Regular,0
N0135,Ekani,Baral,7/4/2000,Male,ekani.baral@gmail.com,6860142463,Kolkata,West Bengal,India,4/28/2024,5/20/2026,44,96962.45,VIP,0
N0136,Siddharth,Sama,4/10/1975,Female,siddharth.sama@gmail.com,9559466869,Delhi,Delhi,India,11/14/2022,7/12/2025,50,42469.32,Premium,0
N0137,Warjas,Raja,5/23/2000,Female,warjas.raja@gmail.com,9000000136,Delhi,Delhi,India,1/1/2024,2/3/2026,40,75360.23,VIP,0
N0138,Samarth,Kapoor,8/19/1989,Female,samarth.kapoor138@example.com,9964508012,Hyderabad,Telangana,India,1/5/2025,9/21/2025,42,89268.36,VIP,1
N0139,Megha,Balan,1/7/1990,Male,megha.balan@gmail.com,7454016866,Bangalore,Karnataka,India,3/10/2025,4/23/2026,13,69308.69,VIP,0
N0140,Darpan,Kurian,6/11/1995,Female,darpan.kurian@gmail.com,7401789936,Bangalore,Karnataka,India,3/6/2024,4/27/2026,42,66978.17,VIP,0
N0141,Yashodhara,Bala,5/27/1991,Male,yashodhara.bala@gmail.com,9272343013,Bangalore,Karnataka,India,1/14/2023,1/12/2026,38,4892.68,Regular,0
N0142,Jasmit,Parmer,7/17/1970,Male,jasmit.parmer@gmail.com,6247624032,Madurai,Tamil Nadu,India,1/27/2024,9/30/2025,14,16730,Premium,0
N0143,Priya,Walia,10/18/1998,Male,priya.walia@gmail.com,9211963527,Hyderabad,Telangana,India,4/17/2023,7/16/2025,41,4649.47,Regular,0
N0144,Falan,Jhaveri,10/30/2000,Male,falan.jhaveri@gmail.com,8734360817,Kolkata,West Bengal,India,5/11/2022,11/24/2025,22,75077.85,VIP,0
N0145,Gautam,Magar,3/14/1969,Male,gautam.magar@gmail.com,7699997973,Mumbai,Maharashtra,India,5/16/2022,3/2/2026,12,100907.65,VIP,1
N0146,Jeet,Kumar,6/22/1994,Male,jeet.kumar@gmail.com,8930530357,Chennai,Tamil Nadu,India,4/14/2022,1/16/2026,10,91650.21,VIP,0
N0147,Om,Sami,7/6/1975,Male,om.sami@gmail.com,9698731793,Mumbai,Maharashtra,India,11/24/2024,12/6/2025,33,42392.76,Premium,1
N0148,Advay,Tiwari,4/19/1978,Female,advay.tiwari@gmail.com,6693489267,Mumbai,Maharashtra,India,9/23/2024,5/26/2026,33,100054.57,VIP,0
N0149,Rishi,Tandon,6/1/1975,Male,rishi.tandon@gmail.com,8357475244,Mumbai,Maharashtra,India,3/6/2022,4/19/2026,13,35617.18,Premium,1
N0150,Krishna,Bhatia,8/3/2003,Male,krishna.bhatia@gmail.com,7063060048,Bangalore,Karnataka,India,4/25/2024,6/12/2026,24,64386.02,VIP,1
N0151,Dhriti,Parekh,1/24/1999,Male,dhriti.parekh@gmail.com,9182913238,Coimbatore,Tamil Nadu,India,1/21/2022,12/25/2025,4,72371.86,VIP,1
N0152,Vedhika,Peri,6/13/1970,Female,vedhika.peri@gmail.com,8737359721,Madurai,Tamil Nadu,India,4/19/2025,7/23/2025,44,71903.35,VIP,1
N0153,Bachittar,Kamdar,9/30/1971,Male,bachittar.kamdar@gmail.com,6684584320,Mumbai,Maharashtra,India,10/10/2022,9/21/2025,16,30473.84,Premium,1
N0154,Darsh,Murthy,1/9/1970,Female,darsh.murthy@gmail.com,8579403125,Mumbai,Maharashtra,India,11/2/2021,12/25/2025,36,5578.71,Regular,0
N0155,Krisha,Dani,8/25/1985,Female,krisha.dani@gmail.com,8994824365,Madurai,Tamil Nadu,India,9/5/2024,1/31/2026,19,58217.45,VIP,1
N0156,Lipika,Lad,3/18/2000,Male,lipika.lad@gmail.com,7414107549,Chennai,Tamil Nadu,India,5/4/2022,2/15/2026,27,102761.15,VIP,0
N0157,Mason,Chhabra,5/28/1997,Female,mason.chhabra@gmail.com,9291247650,Bangalore,Karnataka,India,9/23/2024,12/13/2025,11,103056.42,VIP,1
N0158,Mekhala,Datta,1/14/1982,Female,mekhala.datta@gmail.com,9922904894,Pune,Maharashtra,India,1/14/2025,2/24/2026,41,2004.99,New,1
N0159,Ranveer,Chaudhuri,5/11/1970,Female,ranveer.chaudhuri@gmail.com,7553143387,Coimbatore,Tamil Nadu,India,10/30/2023,9/20/2025,27,17649.72,Premium,1
N0160,Bahadurjit,Bandi,6/1/2000,Male,bahadurjit.bandi@gmail.com,6128052728,Kolkata,West Bengal,India,4/3/2022,5/4/2026,5,113200.92,VIP,1
N0161,Jason,Dube,9/1/1992,Male,jason.dube@gmail.com,9475267155,Delhi,Tamil Nadu,India,8/11/2024,3/23/2026,9,2779.69,New,1
N0162,Pratyush,Jani,3/14/1993,Male,pratyush.jani@gmail.com,6833442368,Chennai,Tamil Nadu,India,4/14/2025,12/27/2025,35,49125.16,VIP,0
N0163,Veer,Murty,7/1/1985,Female,veer.murty@gmail.com,8739460953,Kolkata,West Bengal,India,7/23/2024,11/9/2025,17,93133.82,VIP,0
N0164,Gunbir,Jaggi,12/3/1985,Female,gunbir.jaggi@gmail.com,7069381464,Delhi,Delhi,India,12/5/2021,3/22/2026,17,43212.4,VIP,0
