"CustomerId";"FirstName";"LastName";"DateOfBIrth";"Gender";"Email";"Phone";"City";"State";"Country";"JoinDate";"LastPurchaseDate";"TotalPurchases";"TotalSpent";"CustomerSegment";"IsActive";"customer_age";"Avg_Spent"
"N0017";"abeer";"mannan";"2000-06-04";"Male";"abeer.mannan@gmail.com";"8213649455";"Madurai";"Tamil Nadu";"India";"2025-01-20";"2026-05-06";37;20908.91;"Premium";"0";26;565.11
"N0018";"odika";"deshmukh";"1980-07-27";"Female";"odika.deshmukh@gmail.com";"7446204533";"Mumbai";"Maharashtra";"India";"2024-01-01";"2026-02-23";29;118765.18;"VIP";"0";45;4095.35
"N0019";"dipta";"mane";"1963-08-10";"Male";"dipta.mane@gmail.com";"9081930449";"Kolkata";"West Bengal";"India";"2021-11-25";"2025-06-21";19;89501.45;"VIP";"0";62;4710.6
"N0020";"xalak";"dayal";"1970-01-30";"Male";"xalak.dayal@gmail.com";"7637530550";"Kolkata";"West Bengal";"India";"2021-08-06";"2025-09-16";8;109971.53;"VIP";"1";56;13746.44
"N0021";"widisha";"mital";"1991-10-19";"Male";"widisha.mital@gmail.com";"7631300734";"Kolkata";"West Bengal";"India";"2021-11-07";"2026-05-02";33;38141.6;"Premium";"0";34;1155.81
"N0022";"lipika";"kohli";"1971-07-31";"Female";"lipika.kohli@gmail.com";"6140180220";"Coimbatore";"Tamil Nadu";"India";"2021-08-17";"2025-11-21";2;115689.07;"VIP";"0";54;57844.54
"N0023";"radhika";"agate";"1965-12-31";"Male";"radhika.agate@gmail.com";"7048413700";"Delhi";"Delhi";"India";"2024-02-28";"2025-09-10";46;30812.37;"Premium";"1";60;669.83
"N0024";"yuvraj";"lall";"1980-02-13";"Male";"yuvraj.lall@gmail.com";"6739039551";"Mumbai";"Maharashtra";"India";"2022-08-28";"2025-12-04";19;81432.74;"VIP";"0";46;4285.93
"N0025";"manya";"bhakta";"1987-08-28";"Female";"manya.bhakta@gmail.com";"7414854052";"Bangalore";"Karnataka";"India";"2025-04-29";"2025-07-24";16;73147.38;"VIP";"0";38;4571.71
"N0026";"hitesh";"prakash";"1968-09-20";"Male";"hitesh.prakash@gmail.com";"6797264639";"Mumbai";"Maharashtra";"India";"2023-11-04";"2025-11-21";28;115857.68;"VIP";"0";57;4137.77
"N0027";"daksh";"viswanathan";"1962-02-23";"Male";"daksh.viswanathan@gmail.com";"9355534988";"Madurai";"Tamil Nadu";"India";"2024-02-22";"2026-01-12";32;93934.05;"VIP";"1";64;2935.44
"N0028";"manan";"sarkar";"1975-09-19";"Male";"manan.sarkar@gmail.com";"9652609811";"Kolkata";"West Bengal";"India";"2024-10-05";"2026-05-06";9;114825.84;"VIP";"0";50;12758.43
"N0029";"balhaar";"kota";"1997-10-11";"Male";"balhaar.kota@gmail.com";"8762979743";"Chennai";"Tamil Nadu";"India";"2023-12-22";"2026-05-17";42;106491.83;"VIP";"1";28;2535.52
"N0030";"isaac";"kadakia";"1981-01-12";"Male";"isaac.kadakia@gmail.com";"8172636017";"Coimbatore";"Tamil Nadu";"India";"2022-12-18";"2025-08-12";41;89688.1;"VIP";"1";45;2187.51
"N0031";"gopal";"parmar";"1976-12-23";"Female";"gopal.parmar@gmail.com";"9597849605";"Delhi";"Delhi";"India";"2025-01-24";"2025-12-21";36;18069.72;"Premium";"1";49;501.94
"N0032";"bhavya";"kapoor";"1967-09-20";"Female";"bhavya.kapoor@gmail.com";"9000000031";"Bangalore";"Karnataka";"India";"2021-08-27";"2026-02-14";33;18401.84;"Premium";"0";58;557.63
"N0033";"upma";"batta";"2008-03-14";"Male";"upma.batta@gmail.com";"7499005630";"Coimbatore";"Tamil Nadu";"India";"2021-09-05";"2025-06-18";37;25609.46;"Premium";"0";18;692.15
"N0034";"harini";"chandra";"1988-05-29";"Female";"harini.chandra@gmail.com";"8831360226";"Chennai";"Tamil Nadu";"India";"2021-08-28";"2025-11-04";32;105902.69;"VIP";"1";38;3309.46
"N0035";"jatin";"batta";"1994-08-20";"Male";"jatin.batta@gmail.com";"6045719374";"Coimbatore";"Tamil Nadu";"India";"2021-07-31";"2025-10-13";35;64299.27;"VIP";"0";31;1837.12
"N0036";"yash";"dhingra";"1977-12-14";"Female";"yash.dhingra@gmail.com";"9100569760";"Bangalore";"Karnataka";"India";"2023-11-19";"2025-11-14";31;6425.59;"Regular";"0";48;207.28
"N0037";"reyansh";"bail";"1981-02-18";"Female";"reyansh.bail@gmail.com";"9920986285";"Madurai";"Tamil Nadu";"India";"2024-05-11";"2025-11-16";20;52321.49;"VIP";"1";45;2616.07
"N0038";"karan";"khurana";"1999-07-19";"Male";"karan.khurana@gmail.com";"8427269626";"Delhi";"Karnataka";"India";"2021-12-23";"2026-02-09";43;5934.6;"Regular";"1";26;138.01
"N0039";"yug";"shroff";"2003-01-29";"Female";"yug.shroff@gmail.com";"6525905999";"Mumbai";"Maharashtra";"India";"2024-01-25";"2026-01-17";15;42668.17;"Premium";"0";23;2844.54
"N0040";"advika";"biswas";"1997-07-31";"Male";"advika.biswas@gmail.com";"6549599816";"Hyderabad";"Telangana";"India";"2023-06-17";"2025-11-16";46;59313.56;"Premium";"0";28;1289.43
"N0041";"waida";"upadhyay";"1986-04-14";"Male";"waida.upadhyay@gmail.com";"7890342884";"Delhi";"Delhi";"India";"2024-05-17";"2025-09-29";4;107580.63;"VIP";"0";40;26895.16
"N0042";"watika";"kapur";"1995-03-20";"Female";"watika.kapur@gmail.com";"6170095904";"Coimbatore";"Tamil Nadu";"India";"2022-05-11";"2025-11-04";20;53740.39;"VIP";"1";31;2687.02
"N0043";"gauri";"bhasin";"1964-12-16";"Female";"gauri.bhasin43@example.com";"8243661978";"Kolkata";"West Bengal";"India";"2023-12-11";"2026-01-17";21;31660.34;"Premium";"0";61;1507.64
"N0044";"wahab";"yogi";"1962-12-02";"Male";"wahab.yogi44@example.com";"6317545634";"Chennai";"Tamil Nadu";"India";"2021-11-10";"2025-06-21";16;8877.18;"Regular";"1";63;554.82
"N0045";"geetika";"dhillon";"1982-01-04";"Female";"geetika.dhillon@gmail.com";"12345";"Hyderabad";"Telangana";"India";"2023-01-20";"2025-12-01";28;108166.33;"VIP";"1";44;3863.08
"N0046";"dhruv";"mallick";"1972-03-18";"Male";"dhruv.mallick@gmail.com";"9000000045";"Kolkata";"West Bengal";"India";"2025-01-04";"2026-04-26";23;59313.56;"Premium";"1";54;2578.85
"N0047";"pranav";"date";"1965-11-09";"Female";"pranav.date47@example.com";"7737111569";"Madurai";"Tamil Nadu";"India";"2022-07-08";"2026-06-04";42;1630.48;"New";"1";60;38.82
"N0048";"charles";"nayak";"2007-05-23";"Female";"charles.nayak@gmail.com";"8698609929";"Kolkata";"West Bengal";"India";"2024-05-10";"2026-06-11";37;95969.38;"VIP";"1";19;2593.77
"N0049";"pahal";"magar";"1984-01-29";"Male";"pahal.magar@gmail.com";"6884374865";"Chennai";"Tamil Nadu";"India";"2022-10-28";"2025-11-09";46;31202.61;"Premium";"1";42;678.32
"N0050";"mahika";"nair";"1988-04-21";"Male";"mahika.nair@gmail.com";"8442441431";"Coimbatore";"Tamil Nadu";"India";"2024-04-26";"2025-07-24";45;67701.01;"VIP";"1";38;1504.47
"N0051";"anmol";"borra";"1975-09-24";"Female";"anmol.borra@gmail.com";"9963843372";"Madurai";"Tamil Nadu";"India";"2022-06-16";"2026-04-30";18;29983.36;"Premium";"0";50;1665.74
"N0052";"shivansh";"nagarajan";"1967-07-23";"Female";"shivansh.nagarajan@gmail.com";"7226920891";"Mumbai";"Maharashtra";"India";"2023-05-24";"2026-05-14";11;31172.24;"Premium";"0";58;2833.84
"N0053";"owen";"madan";"1985-04-03";"Female";"owen.madan@gmail.com";"12345";"Mumbai";"Maharashtra";"India";"2024-05-10";"2026-03-29";25;119114.02;"VIP";"1";41;4764.56
"N0054";"atharv";"singh";"1998-03-14";"Female";"atharv.singh@gmail.com";"9757155251";"Coimbatore";"Tamil Nadu";"India";"2021-12-19";"2025-08-11";22;99367.84;"VIP";"1";28;4516.72
"N0055";"reyansh";"wadhwa";"1984-08-28";"Male";"reyansh.wadhwa@gmail.com";"8114457695";"Coimbatore";"Tamil Nadu";"India";"2024-05-12";"2026-05-07";22;114314.67;"VIP";"1";41;5196.12
"N0056";"kashvi";"kapoor";"1991-05-21";"Female";"kashvi.kapoor@gmail.com";"8028220757";"Chennai";"Tamil Nadu";"India";"2022-11-17";"2026-05-29";12;18340.27;"Premium";"1";35;1528.36
"N0057";"vyanjana";"badal";"1982-05-05";"Male";"vyanjana.badal@gmail.com";"8412651999";"Chennai";"Tamil Nadu";"India";"2022-07-27";"2025-11-22";5;100967.0;"VIP";"0";44;20193.4
"N0058";"banjeet";"yogi";"1977-07-26";"Male";"banjeet.yogi@gmail.com";"9471001186";"Pune";"Maharashtra";"India";"2024-09-10";"2025-06-20";43;108858.32;"VIP";"1";48;2531.59
"N0059";"rehaan";"palan";"1983-08-20";"Female";"rehaan.palan@gmail.com";"6513898129";"Mumbai";"Maharashtra";"India";"2025-04-07";"2026-01-03";18;59788.44;"VIP";"1";42;3321.58
"N0060";"ekta";"nagarajan";"1967-02-12";"Female";"ekta.nagarajan@gmail.com";"9962818876";"Hyderabad";"Telangana";"India";"2023-01-12";"2025-10-02";22;66033.1;"VIP";"0";59;3001.5
"N0061";"ekiya";"bansal";"1967-07-12";"Female";"ekiya.bansal@gmail.com";"7285673984";"Hyderabad";"Telangana";"India";"2024-12-29";"2026-01-02";2;20745.89;"Premium";"0";58;10372.95
"N0062";"jeet";"kala";"1978-11-28";"Female";"jeet.kala@gmail.com";"8059149729";"Coimbatore";"Tamil Nadu";"India";"2024-07-08";"2025-10-17";23;73354.26;"VIP";"0";47;3189.32
"N0063";"qabil";"shankar";"1980-11-08";"Male";"qabil.shankar@gmail.com";"8679307906";"Hyderabad";"Telangana";"India";"2023-09-24";"2023-10-24";22;20388.34;"Premium";"0";45;926.74
"N0064";"nathan";"sampath";"1975-11-09";"Female";"nathan.sampath@gmail.com";"6356014396";"Hyderabad";"Telangana";"India";"2022-12-31";"2025-09-27";7;109935.08;"VIP";"1";50;15705.01
"N0065";"nihal";"krishna";"2004-03-17";"Male";"nihal.krishna@gmail.com";"9370171196";"Bangalore";"Karnataka";"India";"2025-06-14";"2025-06-18";45;92042.2;"VIP";"0";22;2045.38
"N0066";"megha";"kumar";"1988-02-19";"Male";"megha.kumar@gmail.com";"7649068195";"Hyderabad";"Telangana";"India";"2023-03-27";"2025-09-01";2;14175.05;"Premium";"0";38;7087.53
"N0067";"idika";"kakar";"1963-07-24";"Female";"idika.kakar@gmail.com";"6457274475";"Mumbai";"Maharashtra";"India";"2024-11-22";"2025-10-20";14;109264.65;"VIP";"1";62;7804.62
"N0068";"janya";"sami";"2007-12-11";"Female";"janya.sami@gmail.com";"7591396761";"Bangalore";"Karnataka";"India";"2025-01-10";"2026-05-11";42;61388.99;"VIP";"1";18;1461.64
"N0069";"niharika";"basu";"1997-09-07";"Male";"niharika.basu@gmail.com";"7482139003";"Coimbatore";"Tamil Nadu";"India";"2023-02-09";"2026-03-03";35;2932.41;"New";"1";28;83.78
"N0070";"keya";"sathe";"1983-10-08";"Female";"keya.sathe@gmail.com";"7954333227";"Delhi";"Delhi";"India";"2022-01-29";"2026-02-03";31;56277.34;"VIP";"0";42;1815.4
"N0071";"faris";"mandal";"1967-06-12";"Male";"faris.mandal@gmail.com";"9028583142";"Kolkata";"West Bengal";"India";"2021-07-12";"2026-02-05";41;18658.66;"Premium";"1";59;455.09
"N0072";"geetika";"dhingra";"2007-01-18";"Female";"geetika.dhingra@gmail.com";"9814385209";"Pune";"Maharashtra";"India";"2025-03-11";"2026-03-27";29;17908.21;"Premium";"1";19;617.52
"N0073";"tejas";"iyer";"1985-11-02";"Female";"tejas.iyer@gmail.com";"9727829347";"Chennai";"Tamil Nadu";"India";"2025-03-24";"2025-07-30";41;94367.07;"VIP";"0";40;2301.64
"N0074";"hemal";"nadkarni";"1962-10-22";"Male";"hemal.nadkarni@gmail.com";"7983441308";"Delhi";"Delhi";"India";"2021-12-11";"2026-02-02";46;91010.68;"VIP";"0";63;1978.49
"N0075";"vansha";"nanda";"1986-04-23";"Male";"vansha.nanda@gmail.com";"8809829122";"Delhi";"Delhi";"India";"2021-09-03";"2025-06-19";14;73471.92;"VIP";"0";40;5247.99
"N0076";"kabir";"chopra";"1985-03-24";"Female";"kabir.chopra@gmail.com";"9235236598";"Hyderabad";"Telangana";"India";"2025-03-31";"2025-08-06";41;65368.27;"VIP";"0";41;1594.35
"N0077";"robert";"arora";"1962-05-20";"Female";"robert.arora@gmail.com";"6796544491";"Pune";"Maharashtra";"India";"2025-04-26";"2025-07-09";2;39985.19;"Premium";"0";64;19992.6
"N0078";"hemani";"sinha";"1991-02-02";"Female";"hemani.sinha@gmail.com";"9602639826";"Coimbatore";"Tamil Nadu";"India";"2023-10-09";"2026-06-02";2;44292.81;"VIP";"0";35;22146.41
"N0079";"chandani";"subramanian";"2006-12-20";"Male";"chandani.subramanian@gmail.com";"8283637715";"Bangalore";"Karnataka";"India";"2024-03-28";"2025-06-29";4;25949.68;"Premium";"1";19;6487.42
"N0080";"veer";"pandit";"1977-10-01";"Male";"veer.pandit@gmail.com";"9395297809";"Kolkata";"West Bengal";"India";"2025-03-28";"2026-06-11";5;27629.65;"Premium";"1";48;5525.93
"N0081";"onkar";"atwal";"1964-11-13";"Male";"onkar.atwal@gmail.com";"12345";"Chennai";"Tamil Nadu";"India";"2021-08-16";"2026-02-14";38;64311.76;"VIP";"1";61;1692.41
"N0082";"jeet";"bala";"1971-12-22";"Female";"jeet.bala@gmail.com";"8717755378";"Mumbai";"Maharashtra";"India";"2024-12-09";"2026-04-17";25;14392.36;"Premium";"1";54;575.69
"N0083";"hemani";"mishra";"1994-09-27";"Female";"hemani.mishra@gmail.com";"9000000082";"Madurai";"Tamil Nadu";"India";"2023-08-28";"2025-11-20";37;109513.51;"VIP";"1";31;2959.82
"N0084";"orinder";"sankar";"1992-05-22";"Male";"orinder.sankar@gmail.com";"7051912384";"Chennai";"Tamil Nadu";"India";"2024-11-12";"2025-08-19";12;10345.43;"Regular";"1";34;862.12
"N0085";"wyatt";"issac";"1986-10-17";"Male";"wyatt.issac@gmail.com";"8061261788";"Hyderabad";"Telangana";"India";"2023-07-18";"2025-12-13";43;10484.99;"Regular";"1";39;243.84
"N0086";"harini";"saran";"1979-03-11";"Female";"harini.saran@gmail.com";"9796070881";"Mumbai";"Maharashtra";"India";"2025-01-21";"2025-12-02";43;64575.05;"VIP";"1";47;1501.75
"N0087";"harrison";"thakur";"1981-06-12";"Male";"harrison.thakur@gmail.com";"9865279663";"Bangalore";"Karnataka";"India";"2023-04-02";"2026-02-13";13;58331.23;"VIP";"1";45;4487.02
"N0088";"isha";"choudhury";"1995-07-03";"Female";"isha.choudhury@gmail.com";"7609345788";"Mumbai";"Maharashtra";"India";"2025-02-16";"2025-09-21";22;10928.13;"Regular";"0";30;496.73
"N0089";"devansh";"narasimhan";"1992-06-21";"Male";"devansh.narasimhan@gmail.com";"6473131623";"Pune";"Maharashtra";"India";"2023-03-15";"2026-05-06";3;33845.53;"Premium";"0";33;11281.84
"N0090";"kai";"vasa";"1993-07-04";"Female";"kai.vasa@gmail.com";"9012556520";"Coimbatore";"Tamil Nadu";"India";"2024-08-08";"2026-06-15";49;5526.16;"Regular";"0";32;112.78
"N0091";"max";"shanker";"1973-08-25";"Male";"max.shanker@gmail.com";"6032458001";"Delhi";"Delhi";"India";"2024-09-19";"2025-08-20";7;68656.32;"VIP";"0";52;9808.05
"N0092";"dhriti";"de";"2005-07-06";"Male";"dhriti.de@gmail.com";"9996375809";"Madurai";"Tamil Nadu";"India";"2021-10-03";"2026-04-29";30;109672.6;"VIP";"1";20;3655.75
"N0093";"dev";"ray";"1961-11-23";"Male";"dev.ray@gmail.com";"7356670535";"Mumbai";"Maharashtra";"India";"2022-08-19";"2026-02-21";24;52198.61;"VIP";"1";64;2174.94
"N0094";"fitan";"anand";"1988-02-05";"Male";"fitan.anand@gmail.com";"9127515794";"Kolkata";"West Bengal";"India";"2021-11-27";"2025-12-08";45;113859.98;"VIP";"1";38;2530.22
"N0095";"nisha";"sem";"1975-01-02";"Male";"nisha.sem@gmail.com";"8322600915";"Delhi";"West Bengal";"India";"2022-08-06";"2025-07-09";3;62709.86;"VIP";"1";51;20903.29
"N0096";"nimrat";"chokshi";"1983-04-12";"Female";"nimrat.chokshi@gmail.com";"8124689114";"Mumbai";"Maharashtra";"India";"2024-08-24";"2025-08-19";44;61272.56;"VIP";"0";43;1392.56
"N0097";"geetika";"krish";"1971-12-01";"Female";"geetika.krish@gmail.com";"9420344951";"Mumbai";"Maharashtra";"India";"2025-03-14";"2025-10-22";39;75062.2;"VIP";"0";54;1924.67
"N0098";"panini";"rajagopal";"2006-06-12";"Male";"panini.rajagopal@gmail.com";"8770172447";"Pune";"Maharashtra";"India";"2024-05-25";"2025-11-30";40;80578.51;"VIP";"1";20;2014.46
"N0099";"dalaja";"sama";"1993-10-22";"Female";"dalaja.sama@gmail.com";"9276938286";"Delhi";"Delhi";"India";"2023-03-23";"2025-10-30";40;55327.28;"VIP";"1";32;1383.18
"N0100";"urmi";"dalal";"1961-10-04";"Female";"urmi.dalal100@example.com";"8932182817";"Hyderabad";"Telangana";"India";"2022-04-20";"2026-03-30";23;1813.29;"New";"0";64;78.84
"N0101";"nitesh";"bhasin";"1993-01-24";"Male";"nitesh.bhasin@gmail.com";"8631667723";"Mumbai";"Maharashtra";"India";"2025-03-21";"2025-09-08";20;50578.17;"VIP";"1";33;2528.91
"N0102";"zayan";"devi";"1987-07-11";"Female";"zayan.devi@gmail.com";"7478418665";"Madurai";"Tamil Nadu";"India";"2021-12-28";"2026-02-18";2;9305.65;"Regular";"0";38;4652.83
"N0103";"wridesh";"karnik";"1985-01-23";"Male";"wridesh.karnik@gmail.com";"6538529828";"Pune";"Maharashtra";"India";"2022-05-04";"2026-04-04";33;11814.97;"Regular";"0";41;358.03
"N0104";"vinaya";"merchant";"2005-08-12";"Female";"vinaya.merchant@gmail.com";"7342233866";"Bangalore";"Karnataka";"India";"2025-04-22";"2026-03-02";34;118672.61;"VIP";"1";20;3490.37
"N0105";"charita";"shan";"1998-11-28";"Female";"charita.shan@gmail.com";"6625096904";"Coimbatore";"Tamil Nadu";"India";"2023-05-04";"2025-12-28";31;50599.36;"VIP";"1";27;1632.24
"N0106";"balhaar";"rege";"1968-02-04";"Female";"balhaar.rege@gmail.com";"9707199175";"Coimbatore";"Tamil Nadu";"India";"2024-02-12";"2026-01-09";48;25536.14;"Premium";"1";58;532.0
"N0107";"eesha";"shetty";"2000-10-23";"Male";"eesha.shetty@gmail.com";"8265657481";"Hyderabad";"Telangana";"India";"2024-01-01";"2026-05-02";49;97770.12;"VIP";"1";25;1995.31
"N0108";"tanmayi";"sant";"1976-02-11";"Male";"tanmayi.sant@gmail.com";"9162025969";"Bangalore";"Karnataka";"India";"2024-07-06";"2026-01-27";18;51093.18;"VIP";"0";50;2838.51
"N0109";"vrishti";"johal";"1992-07-15";"Male";"vrishti.johal@gmail.com";"6851913686";"Bangalore";"Karnataka";"India";"2023-10-30";"2025-10-13";5;117990.64;"VIP";"1";33;23598.13
"N0110";"nihal";"tella";"1985-08-17";"Male";"nihal.tella@gmail.com";"6901591901";"Bangalore";"Karnataka";"India";"2024-12-23";"2026-06-13";50;89456.18;"VIP";"0";40;1789.12
"N0111";"gaurika";"peri";"1993-12-06";"Female";"gaurika.peri@gmail.com";"9000000110";"Delhi";"Delhi";"India";"2021-07-12";"2025-07-01";31;22651.36;"Premium";"1";32;730.69
"N0112";"oni";"lall";"1977-08-07";"Male";"oni.lall@gmail.com";"8176596437";"Bangalore";"Karnataka";"India";"2024-03-21";"2026-05-17";29;7930.69;"Regular";"1";48;273.47
"N0113";"devika";"kulkarni";"2005-07-11";"Female";"devika.kulkarni@gmail.com";"8066562501";"Pune";"Maharashtra";"India";"2025-01-19";"2025-11-14";20;54487.08;"VIP";"0";20;2724.35
"N0114";"yutika";"gade";"1963-02-21";"Male";"yutika.gade@gmail.com";"7729022391";"Madurai";"Tamil Nadu";"India";"2025-03-12";"2025-10-14";24;34239.46;"Premium";"0";63;1426.64
"N0115";"dipta";"chaudhari";"1969-09-23";"Male";"dipta.chaudhari@gmail.com";"9482498070";"Hyderabad";"Telangana";"India";"2022-10-21";"2026-01-11";40;95294.98;"VIP";"1";56;2382.37
"N0116";"hemani";"goel";"1985-10-30";"Female";"hemani.goel@gmail.com";"6718675475";"Delhi";"Delhi";"India";"2025-04-13";"2025-07-18";20;43607.97;"VIP";"0";40;2180.4
"N0117";"hemangini";"ratti";"1978-12-26";"Male";"hemangini.ratti@gmail.com";"9537841883";"Hyderabad";"Telangana";"India";"2024-01-01";"2026-04-06";38;101988.21;"VIP";"0";47;2683.9
"N0118";"naksh";"mangal";"2000-07-19";"Female";"naksh.mangal@gmail.com";"7655157403";"Mumbai";"Maharashtra";"India";"2023-03-13";"2025-12-18";21;86861.23;"VIP";"1";25;4136.25
"N0119";"warhi";"jani";"1979-12-27";"Male";"warhi.jani@gmail.com";"7009880401";"Kolkata";"West Bengal";"India";"2024-11-02";"2026-05-09";20;52584.25;"VIP";"0";46;2629.21
"N0120";"advay";"ramaswamy";"1967-06-20";"Male";"advay.ramaswamy@gmail.com";"9952530191";"Bangalore";"Karnataka";"India";"2024-05-17";"2025-12-25";2;118823.66;"VIP";"0";58;59411.83
"N0121";"rohan";"dutta";"1982-02-04";"Female";"rohan.dutta@gmail.com";"6426284628";"Chennai";"Tamil Nadu";"India";"2025-05-26";"2026-04-23";19;40303.66;"Premium";"1";44;2121.25
"N0122";"dev";"dhaliwal";"2004-04-05";"Male";"dev.dhaliwal@gmail.com";"7357486345";"Delhi";"Delhi";"India";"2022-04-02";"2026-02-03";34;24843.43;"Premium";"1";22;730.69
"N0123";"karan";"mitra";"1962-04-20";"Male";"karan.mitra@gmail.com";"9610476573";"Kolkata";"West Bengal";"India";"2023-12-16";"2026-06-11";47;99435.29;"VIP";"1";64;2115.64
"N0124";"unni";"ram";"1961-12-12";"Male";"unni.ram@gmail.com";"7995635953";"Mumbai";"Maharashtra";"India";"2022-07-04";"2026-04-02";43;14606.64;"Premium";"0";64;339.69
"N0125";"william";"purohit";"1989-01-30";"Male";"william.purohit@gmail.com";"9379962729";"Chennai";"Tamil Nadu";"India";"2024-05-09";"2025-12-31";36;79016.67;"VIP";"1";37;2194.91
"N0126";"parth";"dalal";"1969-03-08";"Male";"parth.dalal@gmail.com";"8036150445";"Kolkata";"West Bengal";"India";"2022-06-16";"2025-10-19";22;13734.43;"Premium";"1";57;624.29
"N0127";"vansha";"viswanathan";"2000-02-17";"Female";"vansha.viswanathan@gmail.com";"7815253549";"Madurai";"Tamil Nadu";"India";"2022-09-11";"2026-03-20";45;102538.06;"VIP";"1";26;2278.62
"N0128";"viraj";"dash";"1976-09-29";"Female";"viraj.dash@gmail.com";"7542539982";"Chennai";"Tamil Nadu";"India";"2022-12-16";"2025-10-17";45;1287.93;"New";"0";49;28.62
"N0129";"harinakshi";"toor";"1992-07-06";"Female";"harinakshi.toor@gmail.com";"6019127450";"Bangalore";"Karnataka";"India";"2025-03-30";"2025-10-11";14;39674.31;"Premium";"1";33;2833.88
"N0130";"george";"pai";"1973-03-07";"Female";"george.pai@gmail.com";"7988594077";"Pune";"Maharashtra";"India";"2024-06-01";"2026-01-23";46;75331.83;"VIP";"1";53;1637.65
"N0131";"kashvi";"mohanty";"1985-04-11";"Male";"kashvi.mohanty@gmail.com";"6663738066";"Delhi";"Delhi";"India";"2024-05-26";"2025-06-30";19;95636.71;"VIP";"0";41;5033.51
"N0132";"janaki";"bail";"1982-04-01";"Female";"janaki.bail@gmail.com";"9634441543";"Kolkata";"West Bengal";"India";"2023-12-17";"2025-09-17";6;113321.69;"VIP";"0";44;18886.95
"N0133";"samaksh";"modi";"1967-05-26";"Female";"samaksh.modi@gmail.com";"8420153407";"Bangalore";"Karnataka";"India";"2022-07-29";"2025-07-09";16;94642.33;"VIP";"1";59;5915.15
